#Parameters = {Vbot=-1000; Vside=-500; Vtop=1000; g=1; h=30; l=150; t=1; w=100}
#"Z / mm"	"Potential (Es) (Z) [Real Part]"
#-----------------------------------------
-93.275666882497	-65.984939575195
-93.028905858998	-65.540725708008
-92.782144835500	-65.096496582031
-92.535383812001	-64.644210815430
-92.288622788502	-64.191886901855
-92.041861765004	-63.731639862061
-91.795100741505	-63.271347045898
-91.548339718006	-62.803272247314
-91.301578694508	-62.335155487061
-91.054817671009	-61.859405517578
-90.808056647510	-61.383613586426
-90.561295624012	-60.900356292725
-90.314534600513	-60.417041778564
-90.067773577014	-59.926441192627
-89.821012553516	-59.435768127441
-89.574251530017	-58.938026428223
-89.327490506518	-58.440208435059
-89.080729483020	-57.935527801514
-88.833968459521	-57.430763244629
-88.587207436022	-56.919372558594
-88.340446412524	-56.407886505127
-88.093685389025	-55.890068054199
-87.846924365526	-55.372112274170
-87.600163342028	-54.848121643066
-87.353402318529	-54.323993682861
-87.106641295030	-53.794136047363
-86.859880271532	-53.264129638672
-86.613119248033	-52.728759765625
-86.366358224534	-52.193244934082
-86.119597201036	-51.652729034424
-85.872836177537	-51.112064361572
-85.626075154038	-50.566806793213
-85.379314130540	-50.021400451660
-85.132553107041	-49.471858978271
-84.885792083542	-48.922191619873
-84.639031060044	-48.368831634521
-84.392270036545	-47.815372467041
-84.145509013046	-47.258728027344
-83.898747989548	-46.701995849609
-83.651986966049	-46.142654418945
-83.405225942550	-45.583232879639
-83.158464919052	-45.021797180176
-82.911703895553	-44.460296630859
-82.664942872054	-43.897411346436
-82.418181848556	-43.334484100342
-82.171420825057	-42.770854949951
-81.924659801558	-42.207210540771
-81.677898778060	-41.643585205078
-81.431137754561	-41.079940795898
-81.184376731062	-40.517059326172
-80.937615707564	-39.954196929932
-80.690854684065	-39.392887115479
-80.444093660566	-38.831630706787
-80.197332637068	-38.272716522217
-79.950571613569	-37.713897705078
-79.703810590070	-37.158229827881
-79.457049566572	-36.602710723877
-79.210288543073	-36.051185607910
-78.963527519574	-35.499855041504
-78.716766496076	-34.953350067139
-78.470005472577	-34.407115936279
-78.223244449078	-33.866497039795
-77.976483425580	-33.326225280762
-77.729722402081	-32.792415618896
-77.482961378582	-32.259014129639
-77.236200355084	-31.732873916626
-76.989439331585	-31.207206726074
-76.742678308086	-30.689580917358
-76.495917284588	-30.172492980957
-76.249156261089	-29.664190292358
-76.002395237590	-29.156490325928
-75.755634214092	-28.658304214478
-75.508873190593	-28.160768508911
-75.262112167094	-27.673421859741
-75.015351143596	-27.186735153198
-74.768590120097	-26.710947036743
-74.521829096598	-26.235866546631
-74.275068073100	-25.772010803223
-74.028307049601	-25.309202194214
-73.781546026102	-24.857786178589
-73.534785002603	-24.407772064209
-73.288023979105	-23.969247817993
-73.041262955606	-23.532499313354
-72.794501932107	-23.107202529907
-72.547740908609	-22.684091567993
-72.300979885110	-22.272296905518
-72.054218861611	-21.863111495972
-71.807457838113	-21.465021133423
-71.560696814614	-21.069961547852
-71.313935791115	-20.685726165771
-71.067174767617	-20.304922103882
-70.820413744118	-19.934595108032
-70.573652720619	-19.568086624146
-70.326891697121	-19.211666107178
-70.080130673622	-18.859436035156
-69.833369650123	-18.516860961914
-69.586608626625	-18.178823471069
-69.339847603126	-17.849975585938
-69.093086579627	-17.525962829590
-68.846325556129	-17.210655212402
-68.599564532630	-16.900478363037
-68.352803509131	-16.598495483398
-68.106042485633	-16.301906585693
-67.859281462134	-16.012983322144
-67.612520438635	-15.729685783386
-67.365759415137	-15.453527450562
-67.118998391638	-15.183200836182
-66.872237368139	-14.919482231140
-66.625476344641	-14.661764144897
-66.378715321142	-14.410135269165
-66.131954297643	-14.164659500122
-65.885193274145	-13.924751281738
-65.638432250646	-13.691116333008
-65.391671227147	-13.462553977966
-65.144910203649	-13.240346908569
-64.898149180150	-13.022738456726
-64.651388156651	-12.811545372009
-64.404627133153	-12.604497909546
-64.157866109654	-12.403899192810
-63.911105086155	-12.207015037537
-63.664344062657	-12.016580581665
-63.417583039158	-11.829455375671
-63.170822015659	-11.648772239685
-62.924060992161	-11.471010208130
-62.677299968662	-11.299659729004
-62.430538945163	-11.130867958069
-62.183777921665	-10.968441963196
-61.937016898166	-10.808235168457
-61.690255874667	-10.654331207275
-61.443494851169	-10.502332687378
-61.196733827670	-10.356558799744
-60.949972804171	-10.212393760681
-60.703211780673	-10.074365615845
-60.456450757174	-9.9376773834229
-60.209689733675	-9.8070278167725
-59.962928710177	-9.6774682998657
-59.716167686678	-9.5538387298584
-59.469406663179	-9.4310703277588
-59.222645639681	-9.3141126632690
-58.975884616182	-9.1978063583374
-58.729123592683	-9.0871915817261
-58.482362569185	-8.9770374298096
-58.235601545686	-8.8724451065063
-57.988840522187	-8.7681369781494
-57.742079498689	-8.6692581176758
-57.495318475190	-8.5705070495605
-57.248557451691	-8.4770488739014
-57.001796428193	-8.3835906982422
-56.755035404694	-8.2952604293823
-56.508274381195	-8.2069416046143
-56.261513357697	-8.1233539581299
-56.014752334198	-8.0399065017700
-55.767991310699	-7.9608197212219
-55.521230287201	-7.8819866180420
-55.274469263702	-7.8071694374084
-55.027708240203	-7.7327089309692
-54.780947216705	-7.6619396209717
-54.534186193206	-7.5916161537170
-54.287425169707	-7.5246839523315
-54.040664146209	-7.4582757949829
-53.793903122710	-7.3949809074402
-53.547142099211	-7.3322796821594
-53.300381075713	-7.2724299430847
-53.053620052214	-7.2132339477539
-52.806859028715	-7.1566481590271
-52.560098005217	-7.1007680892944
-52.313336981718	-7.0472731590271
-52.066575958219	-6.9945278167725
-51.819814934721	-6.9439606666565
-51.573053911222	-6.8941793441772
-51.326292887723	-6.8463821411133
-51.079531864225	-6.7994022369385
-50.832770840726	-6.7542276382446
-50.586009817227	-6.7098946571350
-50.339248793729	-6.6672024726868
-50.092487770230	-6.6253714561462
-49.845726746731	-6.5850276947021
-49.598965723233	-6.5455598831177
-49.352204699734	-6.5074386596680
-49.105443676235	-6.4702033996582
-48.858682652737	-6.4341840744019
-48.611921629238	-6.3990569114685
-48.365160605739	-6.3650259971619
-48.118399582241	-6.3318901062012
-47.871638558742	-6.2997398376465
-47.624877535243	-6.2684836387634
-47.378116511745	-6.2381114959717
-47.131355488246	-6.2086305618286
-46.884594464747	-6.1799402236938
-46.637833441249	-6.1521353721619
-46.391072417750	-6.1250352859497
-46.144311394251	-6.0988121032715
-45.897550370753	-6.0732150077820
-45.650789347254	-6.0484848022461
-45.404028323755	-6.0243082046509
-45.157267300257	-6.0009875297546
-44.910506276758	-5.9781541824341
-44.663745253259	-5.9561634063721
-44.416984229761	-5.9345993995667
-44.170223206262	-5.9138631820679
-43.923462182763	-5.8934988975525
-43.676701159264	-5.8739466667175
-43.429940135766	-5.8547163009644
-43.183179112267	-5.8362812995911
-42.936418088768	-5.8181223869324
-42.689657065270	-5.8007411956787
-42.442896041771	-5.7835946083069
-42.196135018272	-5.7672080993652
-41.949373994774	-5.7510170936584
-41.702612971275	-5.7355685234070
-41.455851947776	-5.7202811241150
-41.209090924278	-5.7057170867920
-40.962329900779	-5.6912837028503
-40.715568877280	-5.6775541305542
-40.468807853782	-5.6639270782471
-40.222046830283	-5.6509847640991
-39.975285806784	-5.6381192207336
-39.728524783286	-5.6259188652039
-39.481763759787	-5.6137728691101
-39.235002736288	-5.6022725105286
-38.988241712790	-5.5908060073853
-38.741480689291	-5.5799655914307
-38.494719665792	-5.5691409111023
-38.247958642294	-5.5589232444763
-38.001197618795	-5.5487055778503
-37.754436595296	-5.5390739440918
-37.507675571798	-5.5294432640076
-37.260914548299	-5.5203504562378
-37.014153524800	-5.5112733840942
-36.767392501302	-5.5026893615723
-36.520631477803	-5.4941334724426
-36.273870454304	-5.4860305786133
-36.027109430806	-5.4779672622681
-35.780348407307	-5.4703178405762
-35.533587383808	-5.4627180099487
-35.286826360310	-5.4554972648621
-35.040065336811	-5.4483351707458
-34.793304313312	-5.4415192604065
-34.546543289814	-5.4347686767578
-34.299782266315	-5.4283351898193
-34.053021242816	-5.4219737052917
-33.806260219318	-5.4159007072449
-33.559499195819	-5.4099054336548
-33.312738172320	-5.4041733741760
-33.065977148822	-5.3985233306885
-32.819216125323	-5.3931131362915
-32.572455101824	-5.3877887725830
-32.325694078326	-5.3826818466187
-32.078933054827	-5.3776645660400
-31.832172031328	-5.3728446960449
-31.585411007830	-5.3681163787842
-31.338649984331	-5.3635668754578
-31.091888960832	-5.3591113090515
-30.845127937334	-5.3548178672791
-30.598366913835	-5.3506193161011
-30.351605890336	-5.3465671539307
-30.104844866838	-5.3426108360291
-29.858083843339	-5.3387866020203
-29.611322819840	-5.3350586891174
-29.364561796342	-5.3314490318298
-29.117800772843	-5.3279366493225
-28.871039749344	-5.3245306015015
-28.624278725846	-5.3212203979492
-28.377517702347	-5.3180060386658
-28.130756678848	-5.3148870468140
-27.883995655350	-5.3118538856506
-27.637234631851	-5.3089156150818
-27.390473608352	-5.3060531616211
-27.143712584854	-5.3032841682434
-26.896951561355	-5.3005828857422
-26.650190537856	-5.2979745864868
-26.403429514358	-5.2954254150391
-26.156668490859	-5.2929677963257
-25.909907467360	-5.2905626296997
-25.663146443862	-5.2882471084595
-25.416385420363	-5.2859773635864
-25.169624396864	-5.2837963104248
-24.922863373366	-5.2816548347473
-24.676102349867	-5.2796001434326
-24.429341326368	-5.2775797843933
-24.182580302870	-5.2756443023682
-23.935819279371	-5.2737379074097
-23.689058255872	-5.2719144821167
-23.442297232374	-5.2701163291931
-23.195536208875	-5.2683987617493
-22.948775185376	-5.2667021751404
-22.702014161878	-5.2650847434998
-22.455253138379	-5.2634844779968
-22.208492114880	-5.2619609832764
-21.961731091382	-5.2604517936707
-21.714970067883	-5.2590169906616
-21.468209044384	-5.2575931549072
-21.221448020886	-5.2562422752380
-20.974686997387	-5.2548995018005
-20.727925973888	-5.2536273002625
-20.481164950390	-5.2523612976074
-20.234403926891	-5.2511634826660
-19.987642903392	-5.2499694824219
-19.740881879894	-5.2488417625427
-19.494120856395	-5.2477159500122
-19.247359832896	-5.2466549873352
-19.000598809398	-5.2455940246582
-18.753837785899	-5.2445950508118
-18.507076762400	-5.2435965538025
-18.260315738902	-5.2426552772522
-18.013554715403	-5.2417154312134
-17.766793691904	-5.2408285140991
-17.520032668406	-5.2399444580078
-17.273271644907	-5.2391085624695
-17.026510621408	-5.2382769584656
-16.779749597910	-5.2374897003174
-16.532988574411	-5.2367076873779
-16.286227550912	-5.2359662055969
-16.039466527414	-5.2352313995361
-15.792705503915	-5.2345333099365
-15.545944480416	-5.2338428497314
-15.299183456918	-5.2331857681274
-15.052422433419	-5.2325367927551
-14.805661409920	-5.2319188117981
-14.558900386421	-5.2313094139099
-14.312139362923	-5.2307281494141
-14.065378339424	-5.2301559448242
-13.818617315925	-5.2296099662781
-13.571856292427	-5.2290735244751
-13.325095268928	-5.2285604476929
-13.078334245429	-5.2280569076538
-12.831573221931	-5.2275753021240
-12.584812198432	-5.2271032333374
-12.338051174933	-5.2266511917114
-12.091290151435	-5.2262101173401
-11.844529127936	-5.2257862091064
-11.597768104437	-5.2253732681274
-11.351007080939	-5.2249760627747
-11.104246057440	-5.2245898246765
-10.857485033941	-5.2242188453674
-10.610724010443	-5.2238583564758
-10.363962986944	-5.2235112190247
-10.117201963445	-5.2231750488281
-9.8704409399468	-5.2228512763977
-9.6236799164481	-5.2225379943848
-9.3769188929494	-5.2222361564636
-9.1301578694508	-5.2219452857971
-8.8833968459521	-5.2216644287109
-8.6366358224534	-5.2213950157166
-8.3898747989548	-5.2211341857910
-8.1431137754561	-5.2208843231201
-7.8963527519574	-5.2206430435181
-7.6495917284587	-5.2204127311707
-7.4028307049601	-5.2201895713806
-7.1560696814614	-5.2199778556824
-6.9093086579627	-5.2197723388672
-6.6625476344641	-5.2195777893066
-6.4157866109654	-5.2193894386292
-6.1690255874667	-5.2192120552063
-5.9222645639681	-5.2190403938293
-5.6755035404694	-5.2188796997070
-5.4287425169707	-5.2187232971191
-5.1819814934721	-5.2185778617859
-4.9352204699734	-5.2184371948242
-4.6884594464747	-5.2183074951172
-4.4416984229760	-5.2181811332703
-4.1949373994774	-5.2180662155151
-3.9481763759787	-5.2179546356201
-3.7014153524800	-5.2178540229797
-3.4546543289814	-5.2177562713623
-3.2078933054827	-5.2176699638367
-2.9611322819840	-5.2175855636597
-2.7143712584854	-5.2175130844116
-2.4676102349867	-5.2174425125122
-2.2208492114880	-5.2173833847046
-1.9740881879894	-5.2173256874084
-1.7273271644907	-5.2172799110413
-1.4805661409920	-5.2172355651855
-1.2338051174933	-5.2172031402588
-0.98704409399467	-5.2171711921692
-0.74028307049601	-5.2171516418457
-0.49352204699734	-5.2171325683594
-0.24676102349866	-5.2171258926392
0.0000000000000	-5.2171192169189
0.24676102349868	-5.2171258926392
0.49352204699734	-5.2171325683594
0.74028307049602	-5.2171516418457
0.98704409399468	-5.2171711921692
1.2338051174933	-5.2172031402588
1.4805661409920	-5.2172355651855
1.7273271644907	-5.2172799110413
1.9740881879894	-5.2173256874084
2.2208492114880	-5.2173833847046
2.4676102349867	-5.2174425125122
2.7143712584854	-5.2175130844116
2.9611322819840	-5.2175855636597
3.2078933054827	-5.2176699638367
3.4546543289814	-5.2177562713623
3.7014153524800	-5.2178540229797
3.9481763759787	-5.2179546356201
4.1949373994774	-5.2180662155151
4.4416984229761	-5.2181811332703
4.6884594464747	-5.2183074951172
4.9352204699734	-5.2184371948242
5.1819814934721	-5.2185778617859
5.4287425169707	-5.2187232971191
5.6755035404694	-5.2188796997070
5.9222645639681	-5.2190403938293
6.1690255874667	-5.2192120552063
6.4157866109654	-5.2193894386292
6.6625476344641	-5.2195777893066
6.9093086579628	-5.2197723388672
7.1560696814614	-5.2199778556824
7.4028307049601	-5.2201895713806
7.6495917284588	-5.2204127311707
7.8963527519574	-5.2206430435181
8.1431137754561	-5.2208843231201
8.3898747989548	-5.2211341857910
8.6366358224534	-5.2213950157166
8.8833968459521	-5.2216644287109
9.1301578694508	-5.2219452857971
9.3769188929494	-5.2222361564636
9.6236799164481	-5.2225379943848
9.8704409399468	-5.2228512763977
10.117201963445	-5.2231750488281
10.363962986944	-5.2235112190247
10.610724010443	-5.2238583564758
10.857485033941	-5.2242188453674
11.104246057440	-5.2245898246765
11.351007080939	-5.2249760627747
11.597768104437	-5.2253732681274
11.844529127936	-5.2257862091064
12.091290151435	-5.2262101173401
12.338051174933	-5.2266511917114
12.584812198432	-5.2271032333374
12.831573221931	-5.2275753021240
13.078334245429	-5.2280569076538
13.325095268928	-5.2285604476929
13.571856292427	-5.2290735244751
13.818617315925	-5.2296099662781
14.065378339424	-5.2301559448242
14.312139362923	-5.2307281494141
14.558900386421	-5.2313094139099
14.805661409920	-5.2319188117981
15.052422433419	-5.2325367927551
15.299183456918	-5.2331857681274
15.545944480416	-5.2338428497314
15.792705503915	-5.2345333099365
16.039466527414	-5.2352313995361
16.286227550912	-5.2359662055969
16.532988574411	-5.2367076873779
16.779749597910	-5.2374897003174
17.026510621408	-5.2382769584656
17.273271644907	-5.2391085624695
17.520032668406	-5.2399444580078
17.766793691904	-5.2408285140991
18.013554715403	-5.2417154312134
18.260315738902	-5.2426552772522
18.507076762400	-5.2435965538025
18.753837785899	-5.2445950508118
19.000598809398	-5.2455940246582
19.247359832896	-5.2466549873352
19.494120856395	-5.2477159500122
19.740881879894	-5.2488417625427
19.987642903392	-5.2499694824219
20.234403926891	-5.2511634826660
20.481164950390	-5.2523612976074
20.727925973888	-5.2536273002625
20.974686997387	-5.2548995018005
21.221448020886	-5.2562422752380
21.468209044384	-5.2575931549072
21.714970067883	-5.2590169906616
21.961731091382	-5.2604517936707
22.208492114880	-5.2619609832764
22.455253138379	-5.2634844779968
22.702014161878	-5.2650847434998
22.948775185376	-5.2667021751404
23.195536208875	-5.2683987617493
23.442297232374	-5.2701163291931
23.689058255872	-5.2719144821167
23.935819279371	-5.2737379074097
24.182580302870	-5.2756443023682
24.429341326368	-5.2775797843933
24.676102349867	-5.2796001434326
24.922863373366	-5.2816548347473
25.169624396864	-5.2837963104248
25.416385420363	-5.2859773635864
25.663146443862	-5.2882471084595
25.909907467360	-5.2905626296997
26.156668490859	-5.2929677963257
26.403429514358	-5.2954254150391
26.650190537856	-5.2979745864868
26.896951561355	-5.3005828857422
27.143712584854	-5.3032841682434
27.390473608352	-5.3060531616211
27.637234631851	-5.3089156150818
27.883995655350	-5.3118538856506
28.130756678848	-5.3148870468140
28.377517702347	-5.3180060386658
28.624278725846	-5.3212203979492
28.871039749344	-5.3245306015015
29.117800772843	-5.3279366493225
29.364561796342	-5.3314490318298
29.611322819840	-5.3350586891174
29.858083843339	-5.3387866020203
30.104844866838	-5.3426108360291
30.351605890336	-5.3465671539307
30.598366913835	-5.3506193161011
30.845127937334	-5.3548178672791
31.091888960832	-5.3591113090515
31.338649984331	-5.3635668754578
31.585411007830	-5.3681163787842
31.832172031328	-5.3728446960449
32.078933054827	-5.3776645660400
32.325694078326	-5.3826818466187
32.572455101824	-5.3877887725830
32.819216125323	-5.3931131362915
33.065977148822	-5.3985233306885
33.312738172320	-5.4041733741760
33.559499195819	-5.4099054336548
33.806260219318	-5.4159007072449
34.053021242816	-5.4219737052917
34.299782266315	-5.4283351898193
34.546543289814	-5.4347686767578
34.793304313312	-5.4415192604065
35.040065336811	-5.4483351707458
35.286826360310	-5.4554972648621
35.533587383808	-5.4627180099487
35.780348407307	-5.4703178405762
36.027109430806	-5.4779672622681
36.273870454304	-5.4860305786133
36.520631477803	-5.4941339492798
36.767392501302	-5.5026893615723
37.014153524800	-5.5112733840942
37.260914548299	-5.5203504562378
37.507675571798	-5.5294432640076
37.754436595296	-5.5390739440918
38.001197618795	-5.5487055778503
38.247958642294	-5.5589232444763
38.494719665792	-5.5691409111023
38.741480689291	-5.5799655914307
38.988241712790	-5.5908060073853
39.235002736288	-5.6022725105286
39.481763759787	-5.6137728691101
39.728524783286	-5.6259188652039
39.975285806784	-5.6381192207336
40.222046830283	-5.6509847640991
40.468807853782	-5.6639270782471
40.715568877280	-5.6775541305542
40.962329900779	-5.6912837028503
41.209090924278	-5.7057170867920
41.455851947776	-5.7202811241150
41.702612971275	-5.7355685234070
41.949373994774	-5.7510170936584
42.196135018272	-5.7672080993652
42.442896041771	-5.7835946083069
42.689657065270	-5.8007411956787
42.936418088769	-5.8181223869324
43.183179112267	-5.8362812995911
43.429940135766	-5.8547163009644
43.676701159264	-5.8739466667175
43.923462182763	-5.8934988975525
44.170223206262	-5.9138631820679
44.416984229761	-5.9345993995667
44.663745253259	-5.9561634063721
44.910506276758	-5.9781541824341
45.157267300257	-6.0009875297546
45.404028323755	-6.0243082046509
45.650789347254	-6.0484848022461
45.897550370753	-6.0732150077820
46.144311394251	-6.0988121032715
46.391072417750	-6.1250352859497
46.637833441249	-6.1521353721619
46.884594464747	-6.1799402236938
47.131355488246	-6.2086305618286
47.378116511745	-6.2381114959717
47.624877535243	-6.2684836387634
47.871638558742	-6.2997398376465
48.118399582241	-6.3318901062012
48.365160605739	-6.3650255203247
48.611921629238	-6.3990569114685
48.858682652737	-6.4341840744019
49.105443676235	-6.4702033996582
49.352204699734	-6.5074386596680
49.598965723233	-6.5455598831177
49.845726746731	-6.5850276947021
50.092487770230	-6.6253714561462
50.339248793729	-6.6672024726868
50.586009817227	-6.7098946571350
50.832770840726	-6.7542276382446
51.079531864225	-6.7994022369385
51.326292887723	-6.8463821411133
51.573053911222	-6.8941793441772
51.819814934721	-6.9439606666565
52.066575958219	-6.9945278167725
52.313336981718	-7.0472731590271
52.560098005217	-7.1007680892944
52.806859028715	-7.1566481590271
53.053620052214	-7.2132339477539
53.300381075713	-7.2724299430847
53.547142099211	-7.3322796821594
53.793903122710	-7.3949809074402
54.040664146209	-7.4582757949829
54.287425169707	-7.5246834754944
54.534186193206	-7.5916161537170
54.780947216705	-7.6619396209717
55.027708240203	-7.7327089309692
55.274469263702	-7.8071694374084
55.521230287201	-7.8819866180420
55.767991310699	-7.9608197212219
56.014752334198	-8.0399065017700
56.261513357697	-8.1233539581299
56.508274381195	-8.2069416046143
56.755035404694	-8.2952604293823
57.001796428193	-8.3835906982422
57.248557451691	-8.4770488739014
57.495318475190	-8.5705070495605
57.742079498689	-8.6692581176758
57.988840522187	-8.7681369781494
58.235601545686	-8.8724451065063
