#Parameters = {Vbot=-1000; Vside=-500; Vtop=1000; g=1; h=30; l=150; t=1; w=100}
#"Z / mm"	"Potential (Es) (Z)_1 [Real Part]"
#-------------------------------------------
-93.275666882497	-134.08374023438
-93.028905858998	-135.01463317871
-92.782144835500	-135.94555664062
-92.535383812001	-136.89894104004
-92.288622788502	-137.85240173340
-92.041861765004	-138.83222961426
-91.795100741505	-139.81216430664
-91.548339718006	-140.82249450684
-91.301578694508	-141.83299255371
-91.054817671009	-142.87800598145
-90.808056647510	-143.92324829102
-90.561295624012	-145.00730895996
-90.314534600513	-146.09170532227
-90.067773577014	-147.21936035156
-89.821012553516	-148.34747314453
-89.574251530017	-149.52345275879
-89.327490506518	-150.70002746582
-89.080729483020	-151.92933654785
-88.833968459521	-153.15940856934
-88.587207436022	-154.44728088379
-88.340446412524	-155.73611450195
-88.093685389025	-157.08801269531
-87.846924365526	-158.44113159180
-87.600163342028	-159.86291503906
-87.353402318529	-161.28614807129
-87.106641295030	-162.78390502930
-86.859880271532	-164.28340148926
-86.613119248033	-165.86354064941
-86.366358224534	-167.44570922852
-86.119597201036	-169.11497497559
-85.872836177537	-170.78660583496
-85.626075154038	-172.55206298828
-85.379314130540	-174.32028198242
-85.132553107041	-176.18928527832
-84.885792083542	-178.06137084961
-84.639031060044	-180.04162597656
-84.392270036545	-182.02532958984
-84.145509013046	-184.12466430664
-83.898747989548	-186.22792053223
-83.651986966049	-188.45429992676
-83.405225942550	-190.68507385254
-83.158464919052	-193.04656982422
-82.911703895553	-195.41299438477
-82.664942872054	-197.91755676270
-82.418181848556	-200.42759704590
-82.171420825057	-203.08268737793
-81.924659801558	-205.74382019043
-81.677898778060	-208.55622863770
-81.431137754561	-211.37545776367
-81.184376731062	-214.35107421875
-80.937615707564	-217.33401489258
-80.690854684065	-220.47676086426
-80.444093660566	-223.62733459473
-80.197332637068	-226.93876647949
-79.950571613569	-230.25840759277
-79.703810590070	-233.73654174805
-79.457049566572	-237.22311401367
-79.210288543073	-240.86106872559
-78.963527519574	-244.50738525391
-78.716766496076	-248.29197692871
-78.470005472577	-252.08442687988
-78.223244449078	-255.99449157715
-77.976483425580	-259.91137695312
-77.729722402081	-263.91537475586
-77.482961378582	-267.92456054688
-77.236200355084	-271.97976684570
-76.989439331585	-276.03771972656
-76.742678308086	-280.08950805664
-76.495917284588	-284.14071655273
-76.249156261089	-288.12405395508
-76.002395237590	-292.10275268555
-75.755634214092	-295.94641113281
-75.508873190593	-299.78091430664
-75.262112167094	-303.41528320312
-75.015351143596	-307.03643798828
-74.768590120097	-310.40151977539
-74.521829096598	-313.74972534180
-74.275068073100	-316.81149291992
-74.028307049601	-319.84625244141
-73.781546026102	-322.58828735352
-73.534785002603	-325.29394531250
-73.288023979105	-327.71856689453
-73.041262955606	-330.09942626953
-72.794501932107	-332.22357177734
-72.547740908609	-334.29846191406
-72.300979885110	-336.14703369141
-72.054218861611	-337.94335937500
-71.807457838113	-339.54498291016
-71.560696814614	-341.09365844727
-71.313935791115	-342.47760009766
-71.067174767617	-343.80947875977
-70.820413744118	-345.00375366211
-70.573652720619	-346.14807128906
-70.326891697121	-347.17834472656
-70.080130673622	-348.16137695312
-69.833369650123	-349.05041503906
-69.586608626625	-349.89538574219
-69.339847603126	-350.66314697266
-69.093086579627	-351.39016723633
-68.846325556129	-352.05389404297
-68.599564532630	-352.68026733398
-68.352803509131	-353.25476074219
-68.106042485633	-353.79513549805
-67.859281462134	-354.29315185547
-67.612520438635	-354.76004028320
-67.365759415137	-355.19235229492
-67.118998391638	-355.59637451172
-66.872237368139	-355.97216796875
-66.625476344641	-356.32232666016
-66.378715321142	-356.64950561523
-66.131954297643	-356.95339965820
-65.885193274145	-357.23864746094
-65.638432250646	-357.50280761719
-65.391671227147	-357.75180053711
-65.144910203649	-357.98178100586
-64.898149180150	-358.19937133789
-64.651388156651	-358.39981079102
-64.404627133153	-358.59027099609
-64.157866109654	-358.76522827148
-63.911105086155	-358.93209838867
-63.664344062657	-359.08499145508
-63.417583039158	-359.23138427734
-63.170822015659	-359.36511230469
-62.924060992161	-359.49365234375
-62.677299968662	-359.61077880859
-62.430538945163	-359.72375488281
-62.183777921665	-359.82641601562
-61.937016898166	-359.92584228516
-61.690255874667	-360.01593017578
-61.443494851169	-360.10345458984
-61.196733827670	-360.18258666992
-60.949972804171	-360.25967407227
-60.703211780673	-360.32925415039
-60.456450757174	-360.39724731445
-60.209689733675	-360.45840454102
-59.962928710177	-360.51843261719
-59.716167686678	-360.57226562500
-59.469406663179	-360.62524414062
-59.222645639681	-360.67263793945
-58.975884616182	-360.71948242188
-58.729123592683	-360.76123046875
-58.482362569185	-360.80261230469
-58.235601545686	-360.83941650391
-57.988840522187	-360.87600708008
-57.742079498689	-360.90844726562
-57.495318475190	-360.94079589844
-57.248557451691	-360.96942138672
-57.001796428193	-360.99807739258
-56.755035404694	-361.02331542969
-56.508274381195	-361.04855346680
-56.261513357697	-361.07092285156
-56.014752334198	-361.09320068359
-55.767991310699	-361.11300659180
-55.521230287201	-361.13265991211
-55.274469263702	-361.15017700195
-55.027708240203	-361.16751098633
-54.780947216705	-361.18301391602
-54.534186193206	-361.19830322266
-54.287425169707	-361.21203613281
-54.040664146209	-361.22552490234
-53.793903122710	-361.23767089844
-53.547142099211	-361.24954223633
-53.300381075713	-361.26028442383
-53.053620052214	-361.27075195312
-52.806859028715	-361.28024291992
-52.560098005217	-361.28945922852
-52.313336981718	-361.29782104492
-52.066575958219	-361.30593872070
-51.819814934721	-361.31332397461
-51.573053911222	-361.32046508789
-51.326292887723	-361.32696533203
-51.079531864225	-361.33325195312
-50.832770840726	-361.33898925781
-50.586009817227	-361.34448242188
-50.339248793729	-361.34954833984
-50.092487770230	-361.35437011719
-49.845726746731	-361.35882568359
-49.598965723233	-361.36300659180
-49.352204699734	-361.36691284180
-49.105443676235	-361.37060546875
